id_cliente,edad,id_genero
504308,18,1
504309,46,1
504310,38,0
504311,44,1
504312,41,0
504313,24,1
504314,18,1
504315,27,0
504316,43,0
504317,44,0
504318,20,1
504319,24,0
504320,27,0
504321,32,1
504322,20,0
504323,19,1
504324,26,1
504325,37,0
504326,22,0
504327,35,1
504328,49,1
504329,20,0
504330,34,1
504331,48,0
504332,31,0
504333,29,1
504334,50,0
504335,32,0
504336,49,1
504337,41,0
504338,32,0
504339,42,0
504340,40,1
504341,48,1
504342,29,1
504343,36,0
504344,35,1
504345,44,1
504346,24,0
504347,48,0
504348,42,1
504349,20,0
504350,50,1
504351,63,1
504352,48,0
504353,53,1
504354,37,1
504355,18,0
504356,18,1
504357,39,0
504358,29,1
504359,25,0
504360,35,0
504361,43,0
504362,19,0
504363,31,0
504364,54,0
504365,23,1
504366,46,0
504367,30,0
504368,43,0
504369,49,1
504370,45,0
504371,47,1
504372,22,1
504373,49,0
504374,26,1
504375,39,0
504376,39,1
504377,42,0
504378,40,1
504379,26,1
504380,20,0
504381,46,0
504382,38,0
504383,50,0
504384,35,1
504385,19,1
504386,48,1
504387,32,1
504388,40,1
504389,28,1
504390,56,0
504391,25,0
504392,32,0
504393,37,0
504394,23,0
504395,40,0
504396,55,0
504397,30,0
504398,41,0
504399,18,0
504400,36,0
504401,32,0
504402,26,1
504403,49,1
504404,32,0
504405,34,0
504406,31,0
504407,18,0
504408,22,0
504409,48,1
504410,18,0
504411,27,0
504412,31,1
504413,57,0
504414,45,0
504415,29,0
504416,52,1
504417,27,0
504418,48,1
504419,20,1
504420,49,0
504421,31,1
504422,24,0
504423,33,0
504424,39,0
504425,30,1
504426,43,0
504427,29,0
504428,43,1
504429,41,0
504430,35,1
504431,31,1
504432,38,1
504433,43,1
504434,61,1
504435,47,0
504436,48,1
504437,73,1
504438,42,1
504439,42,1
504440,44,1
504441,24,1
504442,31,0
504443,30,0
504444,44,1
504445,34,1
504446,38,0
504447,49,0
504448,46,1
504449,34,0
504450,28,1
504451,50,1
504452,45,0
504453,18,0
504454,32,1
504455,38,0
504456,45,1
504457,47,0
504458,39,0
504459,43,0
504460,37,1
504461,28,1
504462,33,1
504463,36,0
504464,36,1
504465,18,0
504466,31,1
504467,37,1
504468,33,0
504469,33,1
504470,42,0
504471,23,0
504472,18,1
504473,32,1
504474,45,0
504475,56,1
504476,45,0
504477,18,1
504478,33,1
504479,39,0
504480,38,1
504481,42,1
504482,25,0
504483,37,0
504484,41,0
504485,46,1
504486,26,1
504487,32,1
504488,18,1
504489,29,1
504490,30,0
504491,24,0
504492,38,1
504493,35,0
504494,18,0
504495,39,1
504496,25,1
504497,42,1
504498,21,0
504499,36,1
504500,33,0
504501,40,0
504502,37,1
504503,33,1
504504,18,1
504505,18,1
504506,29,1
504507,36,0
504508,29,0
504509,44,1
504510,33,1
504511,24,0
504512,33,0
504513,39,0
504514,40,0
504515,59,1
504516,28,0
504517,35,0
504518,41,1
504519,36,1
504520,30,0
504521,18,0
504522,30,0
504523,23,0
504524,18,0
504525,26,0
504526,23,0
504527,43,0
504528,43,0
504529,25,1
504530,33,0
504531,18,0
504532,30,1
504533,41,0
504534,46,0
504535,27,1
504536,49,1
504537,18,0
504538,21,1
504539,45,1
504540,56,0
504541,42,0
