id_cliente,fecha_compra,monto_compra,id_metodo_pago,id_canal,tiempo
504308,2021-02-02,109.054,2,0,1022
504309,2021-10-10,35.326,1,0,865
504310,2021-08-27,89.353,2,2,900
504311,2021-06-10,27.22,1,0,793
504312,2021-06-08,28.531,0,0,729
504313,2021-11-10,16.611,1,2,878
504314,2021-02-01,44.661,1,1,807
504315,2021-09-12,54.977,2,3,689
504316,2021-03-15,42.839,1,0,525
504317,2021-02-04,43.883,1,1,932
504318,2021-07-12,49.296,0,0,859
504319,2021-12-23,20.614,1,1,651
504320,2021-09-26,36.122,0,0,992
504321,2021-10-05,73.833,1,0,824
504322,2021-09-19,34.432,0,4,757
504323,2021-10-14,18.26,0,1,919
504324,2021-07-07,58.086,0,1,880
504325,2021-02-16,37.418,1,0,833
504326,2021-11-03,38.581,1,1,726
504327,2021-06-14,34.512,0,0,1137
504328,2021-07-02,54.547,1,0,648
504329,2021-05-16,25.959,1,0,914
504330,2021-03-08,67.091,0,0,765
504331,2021-12-05,37.145,1,0,862
504332,2021-10-13,54.114,1,2,962
504333,2021-08-24,61.269,1,0,724
504334,2021-05-27,20.763,1,2,848
504335,2021-10-28,42.092,1,3,768
504336,2021-07-19,36.4,2,0,665
504337,2021-06-11,47.971,1,1,986
504338,2021-06-14,34.061,1,0,908
504339,2021-03-24,14.551,1,3,642
504340,2021-02-03,49.953,1,0,979
504341,2021-07-22,13.203,1,0,630
504342,2021-11-21,37.302,1,0,775
504343,2021-01-24,79.649,1,3,643
504344,2021-11-10,65.749,1,0,915
504345,2021-10-30,47.609,1,2,654
504346,2021-04-12,26.98,1,0,917
504347,2021-08-19,41.666,1,1,867
504348,2021-03-02,66.648,1,0,712
504349,2021-10-04,23.311,1,0,1109
504350,2021-09-13,50.156,2,0,646
504351,2021-05-10,24.582,2,0,526
504352,2021-01-25,31.125,2,2,894
504353,2021-12-21,29.736,0,1,373
504354,2021-06-12,49.77,1,0,1049
504355,2021-11-22,42.559,1,0,798
504356,2021-09-05,87.631,0,0,523
504357,2021-10-12,37.461,2,1,589
504358,2021-10-05,45.382,1,2,446
504359,2021-03-13,65.835,1,3,789
504360,2021-05-13,40.018,2,3,481
504361,2021-06-20,36.567,1,0,870
504362,2021-07-01,43.738,2,0,725
504363,2021-01-16,25.04,1,3,634
504364,2021-07-19,39.461,0,0,872
504365,2021-02-26,28.828,0,0,892
504366,2021-09-29,35.215,2,0,986
504367,2021-09-07,90.122,1,2,626
504368,2021-12-03,37.145,1,1,755
504369,2021-09-29,47.455,1,4,596
504370,2021-05-14,10.958,1,0,809
504371,2021-12-20,43.956,1,0,640
504372,2021-05-30,94.355,1,0,704
504373,2021-04-29,24.116,1,2,665
504374,2021-11-27,57.005,1,0,833
504375,2021-05-16,25.685,2,3,721
504376,2021-01-28,19.711,2,0,871
504377,2021-06-21,32.957,1,2,721
504378,2021-10-18,24.89,1,2,636
504379,2021-03-11,36.864,0,0,814
504380,2021-06-18,29.596,2,1,595
504381,2021-02-17,23.001,2,0,882
504382,2021-09-08,43.592,1,2,689
504383,2021-06-23,59.907,2,2,777
504384,2021-05-01,52.725,1,1,800
504385,2021-03-24,36.024,1,0,1068
504386,2021-07-26,34.815,1,4,779
504387,2021-09-02,44.184,2,3,733
504388,2021-12-10,27.867,2,1,635
504389,2021-06-09,51.11,1,4,854
504390,2021-02-28,20.253,0,0,731
504391,2021-10-31,15.963,0,0,505
