id_cliente,recibe_boletin,utiliza_vale
504308,1,0
504309,0,0
504310,1,1
504311,1,0
504312,0,0
504313,0,1
504314,1,0
504315,1,1
504316,0,1
504317,1,0
504318,1,0
504319,1,1
504320,0,0
504321,0,0
504322,0,1
504323,1,0
504324,0,0
504325,1,0
504326,0,1
504327,0,1
504328,0,0
504329,1,0
504330,0,0
504331,1,0
504332,1,0
504333,1,1
504334,1,0
504335,1,0
504336,1,1
504337,0,0
504338,1,0
504339,1,0
504340,0,0
504341,0,0
504342,1,0
504343,1,0
504344,0,0
504345,1,1
504346,0,0
504347,0,1
504348,1,1
504349,0,0
504350,0,1
504351,1,0
504352,0,0
504353,0,0
504354,1,1
504355,0,0
504356,1,0
504357,1,1
504358,1,1
504359,0,1
504360,0,1
504361,0,0
504362,0,0
504363,1,0
504364,1,0
504365,1,1
504366,1,1
504367,0,0
504368,1,1
504369,0,1
504370,1,0
504371,1,0
504372,1,1
504373,1,0
504374,0,0
504375,0,0
504376,0,1
504377,1,1
504378,0,0
504379,1,0
504380,0,0
504381,1,0
504382,1,0
504383,0,0
504384,1,1
504385,1,0
504386,1,0
504387,0,0
504388,1,0
504389,0,0
504390,0,0
504391,0,0
504392,1,0
504393,0,1
504394,1,0
504395,0,0
504396,0,0
504397,1,1
504398,0,1
504399,0,0
504400,0,0
504401,0,0
504402,0,0
504403,1,1
504404,1,1
504405,0,1
504406,0,0
504407,1,0
504408,0,0
504409,0,0
504410,0,0
504411,1,0
504412,1,1
504413,0,0
504414,0,0
504415,1,0
504416,0,1
504417,0,0
504418,1,0
504419,0,0
504420,0,0
504421,1,0
504422,1,0
504423,0,0
504424,0,0
504425,0,0
504426,0,1
504427,0,1
504428,0,0
504429,0,0
504430,0,1
504431,0,1
504432,1,0
504433,1,0
504434,1,0
504435,0,0
504436,1,0
504437,0,0
504438,1,1
504439,0,0
504440,1,0
504441,1,0
504442,0,0
504443,1,0
504444,1,1
504445,1,0
504446,0,0
504447,0,0
504448,1,0
504449,0,0
504450,1,0
504451,0,0
504452,0,0
504453,1,0
504454,1,0
504455,1,0
504456,1,1
504457,1,0
504458,1,1
504459,1,0
504460,1,0
504461,1,0
504462,1,0
504463,1,0
504464,1,0
504465,0,0
504466,1,0
504467,1,0
504468,1,1
504469,0,0
504470,0,1
504471,0,0
504472,0,1
504473,0,0
504474,0,0
504475,0,0
504476,1,0
504477,0,0
504478,1,0
504479,0,0
504480,0,0
504481,0,0
504482,0,0
504483,0,1
504484,1,0
504485,0,0
504486,1,1
504487,1,0
504488,0,0
504489,1,0
504490,0,0
504491,0,0
504492,1,0
504493,1,0
504494,0,0
504495,1,0
504496,0,0
504497,0,0
504498,1,0
504499,1,0
504500,1,0
504501,1,0
504502,1,1
504503,1,1
504504,0,0
504505,0,0
504506,0,0
504507,0,0
504508,1,0
504509,1,1
504510,1,1
504511,0,0
504512,0,0
504513,0,0
504514,1,0
504515,0,0
504516,0,1
504517,1,1
504518,0,0
504519,1,0
504520,0,0
504521,0,0
504522,1,1
504523,0,0
504524,0,0
504525,1,0
504526,0,0
504527,0,1
504528,0,0
504529,1,0
504530,1,1
504531,1,0
504532,1,1
504533,0,1
504534,0,0
504535,1,0
504536,0,0
504537,1,0
504538,1,1
504539,1,1
504540,0,0
504541,1,0
504542,1,1
504543,0,0
504544,0,0
504545,0,0
504546,0,0
504547,1,1
504548,1,0
504549,0,0
504550,0,1
504551,1,1
504552,0,0
504553,1,1
504554,1,0
504555,0,0
504556,1,1
504557,0,0
504558,0,1
504559,1,0
504560,0,0
504561,0,1
504562,1,1
504563,0,0
504564,0,1
504565,1,0
504566,0,0
504567,0,0
504568,0,1
504569,1,1
504570,0,0
504571,1,1
504572,0,0
504573,1,1
504574,1,1
504575,1,1
504576,1,0
504577,0,0
504578,0,0
504579,0,0
504580,0,0
504581,0,0
504582,1,0
504583,0,0
504584,1,0
504585,1,0
504586,0,0
504587,0,0
504588,1,0
504589,0,0
504590,0,0
504591,1,0
504592,1,0
504593,0,0
504594,0,0
504595,0,0
504596,0,0
504597,0,1
504598,1,0
504599,1,0
504600,0,0
504601,1,1
504602,1,1
504603,0,1
504604,1,0
504605,1,0
504606,1,0
504607,0,0
504608,1,0
504609,0,0
504610,0,0
504611,1,0
504612,1,0
504613,1,0
504614,0,0
504615,0,0
504616,1,0
504617,1,0
504618,1,0
504619,0,0
504620,1,0
504621,0,0
504622,0,1
504623,1,0
504624,0,0
504625,1,1
504626,1,0
504627,1,0
504628,0,0
504629,0,1
504630,0,0
504631,1,0
504632,1,1
504633,0,0
504634,1,0
504635,0,0
504636,0,0
504637,0,0
504638,0,0
504639,0,0
504640,0,0
504641,0,0
504642,1,0
504643,0,0
504644,1,0
504645,1,0
504646,0,0
504647,1,0
504648,0,1
504649,0,0
504650,1,1
504651,1,0
504652,0,0
504653,1,0
504654,1,0
504655,0,0
504656,0,0
504657,1,1
504658,1,0
504659,1,0
504660,1,1
504661,0,0
504662,0,0
504663,1,0
504664,1,0
504665,0,0
504666,1,1
504667,0,0
504668,0,0
504669,1,0
504670,0,0
504671,0,0
504672,0,0
504673,0,0
504674,1,1
504675,0,0
504676,0,0
504677,1,0
504678,1,0
504679,1,0
504680,1,0
504681,1,0
504682,1,1
504683,0,0
504684,0,1
504685,0,1
504686,1,0
504687,1,0
504688,1,1
504689,1,1
504690,1,0
504691,0,0
504692,0,0
504693,1,0
504694,0,0
504695,1,0
504696,0,0
504697,0,0
504698,1,0
504699,0,0
504700,0,1
504701,0,0
504702,0,0
504703,1,1
504704,0,0
504705,1,1
504706,0,0
504707,1,0
504708,0,0
504709,0,0
504710,1,0
504711,1,0
504712,1,1
504713,1,0
504714,0,0
504715,0,0
504716,1,1
504717,1,0
