id_cliente,n_compras,venta_total
504308,8,737.4
504309,17,689.2
504310,1,95.6
504311,2,75.7
504312,2,46.0
504313,1,20.9
504314,6,269.0
504315,10,376.5
504316,4,122.3
504317,5,239.4
504318,6,220.5
504319,11,224.7
504320,3,89.5
504321,4,222.8
504322,4,98.4
504323,4,48.8
504324,25,1481.3
504325,7,271.9
504326,7,200.8
504327,9,222.7
504328,3,110.8
504329,3,65.3
504330,15,1107.9
504331,1,39.1
504332,16,904.5
504333,5,312.7
504334,5,75.7
504335,4,286.1
504336,10,414.2
504337,4,172.4
504338,7,151.0
504339,7,77.4
504340,2,160.0
504341,6,87.2
504342,1,39.6
504343,7,490.2
504344,2,183.7
504345,8,378.4
504346,1,28.4
504347,5,122.5
504348,5,276.8
504349,11,293.1
504350,6,306.0
504351,3,56.4
504352,3,91.7
504353,4,135.0
504354,12,749.8
504355,7,268.5
504356,5,677.6
504357,7,274.6
504358,2,71.2
504359,1,69.3
504360,2,42.2
504361,7,197.0
504362,2,126.0
504363,6,132.9
504364,2,51.9
504365,5,102.2
504366,4,131.2
504367,2,163.6
504368,1,39.1
504369,4,152.2
504370,4,37.4
504371,4,171.0
504372,4,253.0
504373,7,174.3
504374,2,87.9
504375,2,48.5
504376,3,56.0
504377,4,106.7
504378,1,26.2
504379,4,173.1
504380,3,73.2
504381,4,138.3
504382,5,156.9
504383,3,241.3
504384,1,55.5
504385,6,239.9
504386,8,354.2
504387,2,87.7
504388,5,144.8
504389,4,206.5
504390,6,149.2
504391,1,20.5
504392,10,457.9
504393,3,61.8
504394,16,305.1
504395,4,93.4
504396,8,332.2
504397,1,29.3
504398,5,336.9
504399,6,278.0
504400,4,191.2
504401,1,74.4
504402,9,155.5
504403,22,1130.4
504404,1,15.0
504405,1,33.9
504406,2,35.9
504407,6,269.3
504408,3,163.4
504409,2,51.1
504410,4,464.2
504411,2,44.8
504412,5,75.0
504413,2,60.9
504414,1,45.1
504415,2,81.1
504416,1,62.7
504417,7,313.8
504418,11,381.2
504419,5,85.2
504420,4,414.7
504421,12,1025.8
504422,8,81.6
504423,4,141.6
504424,4,117.7
504425,7,816.3
504426,4,74.6
504427,4,53.0
504428,8,511.7
504429,8,82.2
504430,2,124.0
504431,1,83.0
504432,2,78.6
504433,14,1089.1
504434,2,100.7
504435,3,90.0
504436,5,305.1
504437,2,128.3
504438,3,163.9
504439,1,45.6
504440,2,111.4
504441,2,51.4
504442,2,29.5
504443,5,186.0
504444,6,435.3
504445,2,101.1
504446,5,83.4
504447,9,272.2
504448,10,651.0
504449,8,465.6
504450,4,110.1
504451,1,42.4
504452,5,145.5
504453,11,405.3
504454,5,356.0
504455,9,184.1
504456,2,42.6
504457,6,343.6
504458,2,70.5
504459,7,386.3
504460,6,332.6
504461,7,205.0
504462,5,395.6
504463,4,165.6
504464,17,638.3
504465,13,338.5
504466,4,180.5
504467,3,116.8
504468,10,168.6
504469,2,166.3
504470,9,257.1
504471,2,75.7
504472,5,98.0
504473,3,246.8
504474,16,492.0
504475,1,52.0
504476,13,629.6
504477,6,397.6
504478,5,261.2
504479,2,128.7
504480,6,389.8
504481,19,416.4
504482,7,161.6
504483,1,68.1
504484,8,327.6
504485,1,32.2
504486,4,284.4
504487,5,142.7
504488,3,114.5
504489,9,380.5
504490,2,85.1
504491,6,163.5
504492,4,82.7
504493,6,324.2
504494,6,197.7
504495,6,302.9
504496,2,94.2
504497,5,248.7
504498,4,351.7
504499,8,197.9
504500,5,198.3
504501,11,287.8
504502,7,281.4
504503,13,803.8
504504,4,149.1
504505,3,89.1
504506,3,65.7
504507,6,118.6
504508,6,111.8
504509,3,58.3
504510,4,179.5
504511,1,49.4
504512,1,27.5
504513,5,444.3
504514,1,73.2
504515,2,47.6
504516,3,57.7
504517,6,158.1
504518,4,132.4
504519,3,56.8
504520,1,27.1
504521,8,279.8
504522,10,527.4
504523,1,25.4
504524,4,101.6
504525,2,71.5
504526,7,264.4
504527,5,141.4
504528,9,370.7
504529,2,47.5
504530,10,183.2
504531,7,148.1
504532,3,91.9
504533,5,257.4
504534,3,160.7
504535,16,447.0
504536,2,23.8
504537,2,43.2
504538,2,17.6
504539,4,70.3
504540,4,115.0
504541,5,129.5
504542,18,752.3
504543,11,257.0
504544,2,109.0
504545,4,119.7
504546,1,19.1
504547,3,138.3
504548,10,281.9
504549,2,54.5
504550,2,97.6
504551,3,62.7
504552,7,210.8
504553,3,137.3
504554,1,28.7
